Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP (current LCU),NY.GDP.MKTP.CN,Argentina,ARG,68921999360,180898005000,226638004200,236504973300,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,312580000000,375909500000,485115194700,582538172900,715904271700,896980174100,1149646090600,1247929268900,1661720925900,2179024103600,2637913848200,3348308488200,4579086425400,5954510895700,8228159556500,10660228494800,14744810677300,21558444149200,27209814143300,46219083510300,82810045469900,192408248028800,583909615483500,847622872687300
GDP (current LCU),NY.GDP.MKTP.CN,Brazil,BRA,11548794.5454545,60286000,640958800,14097114200,349204679000,705991552900,854763607800,952089196100,1002351019200,1087710456100,1199092070900,1315755467800,1488787255200,1717950396400,1957751213000,2170584503500,2409449921500,2720262937600,3109803088900,3333039355200,3885846999800,4376381999900,4814759999600,5331618999600,5778953000000,5995786999700,6269328000700,6585479000100,7004140999900,7389130999500,7609597000600,9012141999300,10079676679200,10943344667900,11779250581600,12738565613900
GDP (current LCU),NY.GDP.MKTP.CN,Canada,CAN,695501000000,701773000000,718436000000,747037000000,791972000000,831621000000,859834000000,906896000000,940538000000,1007920000000,1106063000000,1144535000000,1193689000000,1254744000000,1335725000000,1421585000000,1496604000000,1577660000000,1657044000000,1571337000000,1666052000000,1774072000000,1827198000000,1902235000000,1994899000000,1990444000000,2025535000000,2140646000000,2235674000000,2313568000000,2220529000000,2535813000000,2864153000000,2965201000000,3108551000000,3243465000000
GDP (current LCU),NY.GDP.MKTP.CN,China,CHN,1890960000000,2207090000000,2729560000000,3581970000000,4886220000000,6164940000000,7221060000000,8022500000000,8586390000000,9137890000000,10130860000000,11215730000000,12331190000000,13937730000000,16422800000000,18990750000000,22257840000000,27417970000000,32431780000000,35452160000000,41925330000000,49570760000000,54751060000000,60366040000000,65578290000000,70251150000000,76119300000000,84738290000000,93601010000000,100587240000000,103486760000000,117382300000000,123402940000000,129427170000000,134806620000000,140187920000000
GDP (current LCU),NY.GDP.MKTP.CN,Chile,CHL,10185011767834.3,13347474817400,16879478057800,20186462396700,24138573534700,29290620284700,32393861842300,35946985039900,37741618688100,38461785405000,42215029916800,45409054801000,48428963170100,52897338900000,60391763165300,68467939844200,81577533475700,90159479206000,93867121297700,96138477277400,110777866879100,121509298514000,129973394043200,137309192012500,147951290035900,158622902852000,168764687916600,179314910106100,189434867410000,195548149842200,201306507291200,239556270846100,262954242474300,282096646057000,310681169646900,339977710113700
GDP (current LCU),NY.GDP.MKTP.CN,Colombia,COL,24030173000000,31130592000000,39730752000000,52271688000000,67532862000000,84439109000000,100711389000000,121707501000000,140483322000000,151565005000000,208531000000000,225851000000000,245323000000000,272345000000000,307762000000000,337958000000000,381604000000000,428506000000000,476554000000000,501574000000000,544060000000000,619023000000000,666507000000000,714093000000000,762903000000000,804692000000000,863782000000000,920471000000000,987791000000000,1.060068E+15,998471000000000,1.192634E+15,1.471079E+15,1.5872E+15,1.713316E+15,1.853945E+15
GDP (current LCU),NY.GDP.MKTP.CN,France,FRA,1043974800000,1082833000000,1121458100000,1134838600000,1172960400000,1213802400000,1246973700000,1289669200000,1346317600000,1395148000000,1473517300000,1530070900000,1578330400000,1622312800000,1696107700000,1762047700000,1846020800000,1937876300000,1989999700000,1935840200000,1996075100000,2062141400000,2088286700000,2120351900000,2153733100000,2201401600000,2231819200000,2291680500000,2355362800000,2432206800000,2318276200000,2508102300000,2653997200000,2826541500000,2919899900000,2979085100000
GDP (current LCU),NY.GDP.MKTP.CN,Germany,DEU,1468939790000,1591610000000,1709890000000,1757340000000,1838020000000,1899930000000,1928560000000,1967180000000,2022310000000,2077240000000,2129660000000,2195530000000,2223360000000,2240810000000,2293040000000,2325710000000,2426180000000,2542220000000,2589280000000,2493970000000,2615260000000,2746910000000,2799280000000,2866480000000,2984470000000,3087030000000,3195210000000,3333110000000,3434030000000,3537280000000,3450720000000,3682340000000,3989390000000,4219310000000,4328970000000,4469910000000
GDP (current LCU),NY.GDP.MKTP.CN,India,IND,5761092055700,6622604835400,7611959317400,8759924253800,10275700589000,12055826758000,13948159747000,15452938758000,17722970117000,19882615729000,21398856906000,23152429571000,24926137847000,27925301414000,31863319237500,36321246607300,42546289837700,48986620590700,55141523846600,63664065417500,76344721043800,87363287113700,99440131041500,112335216116400,124679592925500,137718738788600,153916690148700,170900423611300,188996684445900,201035928565900,198540960065000,235973985282900,261176269506000,289839093039700,318073085842200,345471567964600
GDP (current LCU),NY.GDP.MKTP.CN,Japan,JPN,471009168476000,501767323049000,514777953613000,515121641821000,521675100000000,530463200000000,546227900000000,554111800000000,543304000000000,534107100000000,543394800000000,539441600000000,532390800000000,530211800000000,534634100000000,537385200000000,540566000000000,544571100000000,533355400000000,499361700000000,510139600000000,501142000000000,505377100000000,514553300000000,528215600000000,548866700000000,555970600000000,565119000000000,569153500000000,571838000000000,554074400000000,573568800000000,584900600000000,616033000000000,634226000000000,663757300000000
GDP (current LCU),NY.GDP.MKTP.CN,"Korea, Rep.",KOR,206712600000000,249964900000000,286437400000000,325647800000000,384996600000000,452187100000000,507768400000000,560502000000000,556786900000000,613069300000000,675732600000000,732723100000000,813225400000000,868110600000000,942885300000000,995175500000000,1.0456632E+15,1.1345413E+15,1.2029729E+15,1.2553055E+15,1.3794602E+15,1.4485756E+15,1.5046741E+15,1.5709382E+15,1.6384848E+15,1.740776E+15,1.8330266E+15,1.9342339E+15,2.0069745E+15,2.0405943E+15,2.0584665E+15,2.2219129E+15,2.3237815E+15,2.4086874E+15,2.5568574E+15,2.6633426E+15
GDP (current LCU),NY.GDP.MKTP.CN,Mexico,MEX,734801827000,945190132300,1123936450800,1651777888000,1868526360000,2440392366000,3284161831000,4144914169000,5092988047000,6034995116000,7016603943000,7437107659000,7827757972000,8259533149000,9248389798000,9999598961000,11120115770000,12046753156000,12927761290000,12749117921000,13968149523000,15268436667000,16529124024000,16954005682000,18137650612000,19228614673000,20758790506000,22536210255000,24176670376000,25121823307000,24086758130000,26690033392000,29525508622000,31866425547000,33506846910000,35255452916000
GDP (current LCU),NY.GDP.MKTP.CN,Denmark,DNK,855374310000,890268118000,923321056000,927919397000,992367577000,1035595130000,1087146990000,1144172600000,1185217921000,1240980316000,1325982579000,1372276534000,1411479278000,1438893296000,1509674257000,1590078561000,1685240766000,1743144366000,1809720846000,1729529013000,1812895797000,1848531108000,1892937992000,1935555208000,1980261218000,2030205915000,2101520255000,2189589424000,2243542220000,2303636685000,2326592274000,2553260513000,2831269594000,2787929906000,2926877807000,3062770642000
GDP (current LCU),NY.GDP.MKTP.CN,Russian Federation,RUS,644200000,1398500000,19010000000,171510000000,610750000000,1428522100000,2007825100000,2342514000000,2629623000000,4823233500000,7305646300000,8943582400000,10830500000000,13208233779000,17027190860000,21609765489000,26917201375000,33247513229000,41276849187000,38807218575000,46308541190000,60114000000000,68103400000000,72985700000000,79030000000000,83087400000000,85616100000000,91843200000000,103861700000000,109608300000000,107658100000000,134727467399600,157001393800000,174265725756902,202320459735648,214261023466350
GDP (current LCU),NY.GDP.MKTP.CN,Spain,ESP,328461005000,360182812000,387925332000,401343468000,426850858000,460259000000,488946000000,518971000000,555559000000,595242000000,647569000000,700958000000,749744000000,802683000000,860059000000,928122000000,1004976000000,1077541000000,1112432000000,1072990000000,1077145000000,1068690000000,1035964000000,1025652000000,1038949000000,1087112000000,1122967000000,1170024000000,1212276000000,1253710000000,1129214000000,1235474000000,1375863000000,1497761000000,1594330000000,1687152000000
GDP (current LCU),NY.GDP.MKTP.CN,Turkiye,TUR,393060200,630116900,1093368000,1981867100,3868429100,10759804400,20381122800,40064652800,71969046500,107490682300,171777959400,247807864000,362906874600,473368472600,584693672100,682962331500,799459602500,892805430000,1009220910700,1013510241600,1176047969000,1413984461200,1590049295300,1831743970500,2062358179200,2354059127000,2629987971500,3151529152900,3806479219400,4402050310900,5141710600900,7433799908300,15325857491800,27091469064700,44587225440200,63020905823900
GDP (current LCU),NY.GDP.MKTP.CN,United Kingdom,GBR,615673000000,647966000000,672170000000,707734000000,745196000000,854921000000,913609000000,958539000000,1002804000000,1046727000000,1104759000000,1150542000000,1194646000000,1262502000000,1327143000000,1403249000000,1478080000000,1551729000000,1602217000000,1559405000000,1615839000000,1669945000000,1721708000000,1789072000000,1875066000000,1928016000000,2004755000000,2097222000000,2171559000000,2252961000000,2124720000000,2322652000000,2580949000000,2752164000000,2891444000000,3039861000000
GDP (current LCU),NY.GDP.MKTP.CN,United States,USA,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21375281000000,23725645000000,26054614000000,27811517000000,29298013000000,30769700000000
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352654305.163,189719984268.485,228778917308.17,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,633993756301.08,649461687959.174,638365455340.04,683097891618.597
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,384959818181.817,342534090909.091,328191909882.232,368292034380.96,525369467295.737,769333050986.905,850426432991.742,883206179730.462,863710759256.435,599642024319.531,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839894.183,1107626541434.92,1397114486368.67,1695855083497.52,1666996438581.43,2208837745100.55,2616156223917.69,2465227802806.76,2472819535557.21,2456043727198.85,1802212206814.5,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63,2185821610689.31,2279920092492.13
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,596075591360.987,612527712315.615,594387358318.855,579053561739.4,579944346807.264,605961090061.207,630607994132.747,654987722085.801,633999325918.436,678414215521.303,744773415931.587,738981792355.372,760650608551.583,895542074084.648,1026691006917.76,1173118501402.87,1319291255289.14,1468820407783.26,1552993439550.14,1374627766599.6,1617349192091.46,1793335727900.85,1828359477071.97,1846583831414.43,1805751688808.98,1556510380200.23,1527996250640.92,1649269496514.62,1725330736237.69,1743728952156.85,1655686966881.99,2022377950896.78,2200562785046.32,2196593836347.42,2270076189683.46,2319899772425.92
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,361560229445.507,384510452961.672,428502354788.069,446557291212.148,566929539493.172,738190896227.55,868523936530.083,967753570434.667,1037134141760.35,1103843203575.64,1223754919971.05,1355036590251.52,1489821682050.54,1683903309843.85,1984196551300.44,2317551298052.05,2791498472804.33,3604055822571.63,4667346414521.95,5189577094997.58,6192564874453.29,7671757207851.29,8673664713189.24,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2,18729668435848,19498039388042.6
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,33428580448.2715,38232330917.2011,46538895685.8088,49934943320.8828,57438273591.0521,73820425701.6603,78584098983.6374,85741415285.165,81990010704.0602,75578685735.5219,78339750721.364,71574739561.4329,70264045939.2773,76492579644.0605,99075985773.6682,122294145163.192,153843518170.864,172491076033.863,179894594475.405,171777900623.892,217051209238.534,251382573893.87,267024782486.855,277395018842.417,259560978224.359,242450355830.884,249344863928.438,276154259981.097,295857562991.709,278308438545.118,254103710483.324,315507493783.262,301099244104.003,335802745366.38,329260633698.726,357371159574.862
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,47844090709.9908,49175565911.0655,58418985443.3172,66446804802.5747,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99875074951.0278,98200641203.3892,97945812802.8882,94644969157.0987,117092416666.245,145600529605.803,161792958904.864,206229540926.312,242504150472.931,232468663109.595,286498534094.963,334966134804.887,370691143018.039,382093697077.685,381240864422.407,293492370193.166,282720100286.228,311866875156.879,334198218098.276,323031701192.84,270348342541.465,318524633225.395,345632492851.448,366901643683.302,420504033143.211,457410034202.523
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1257649439826.53,1258961748633.88,1389663073110.28,1314383368079.69,1385822778827.98,1595219345511.89,1598889216566.23,1449392222971.45,1496906382032.47,1486915879701.93,1360959069477.49,1370376677298.86,1492427756382.43,1835095983049.09,2109792297237.03,2192146403028.17,2317861544690.82,2655816911866.56,2926802941585.86,2700075882518.98,2646230027988.34,2870408553990.28,2683007095787.23,2816077607875.26,2861236112552.42,2442483452642.5,2470407619777.13,2588868323334.71,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2794788137066.94,3056250648138.29,3160442622465.08,3366315927447.33
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1778162195860.07,1875792575132.59,2141377582968.07,2078954217437.6,2215282632276.73,2593053091306.13,2506576553158.31,2218790886532.82,2247760364565.97,2213873468586.88,1966980701145.1,1966381496641.73,2102350798305.89,2534715518349.01,2852317768061.78,2893393187361.87,3046308753670.58,3484056680854.91,3808197720125,3478545516683.59,3467093769666.67,3823575803793.78,3596483233406.25,3807023797050.99,3964870735760.77,3425099578746.09,3536787895179,3765351626105.89,4055433215301.96,3959894794039.21,3941398957073.94,4355251953410.78,4201021706478.62,4562207532490.28,4685592577804.69,5050922925047.05
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979026420.035,270105341879.226,288208070278.013,279295648982.529,327274843459.429,360281909643.489,392896866204.516,415867563592.829,421351317224.941,458821052615.79,468395521654.458,485440139204.171,514939140318.756,607700687237.318,709152728830.775,820383763511.445,940259888787.721,1216736438834.96,1198895139005.92,1341888016994.9,1675615519484.96,1823051829894.55,1827637590410.41,1856721507621.58,2039126479154.52,2103588360044.94,2294796885663.16,2651474262755.45,2702929641648.74,2835606256558.19,2674851578587.27,3167270623260.47,3249938492013.47,3500906030644.76,3760813470500.86,3956067115771.63
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,3252994239867.4,3724887648862.31,4064529567505.43,4632480515091.13,5104063486348.4,5639649753985.77,5021441618840.38,4579780793431.57,4150359076370.48,4688983449627.24,5042381838343.44,4438792748062.4,4245946980572.3,4573413206709.02,4941485123806.53,4875648486366.14,4648058930707.24,4624670179654.96,5160197175876.43,5336765697589.29,5811578109447.07,6279422550218.7,6333803928787.76,5272297037396.96,4985763289560.81,4534438580494.94,5110357383254.44,5038231631660.71,5154293721629.56,5245755000479.03,5189197543645.38,5225933520753.1,4447976207314.78,4384854269961.93,4190008188358.57,4435162999976.94
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,292064221388.988,340851946803.812,366921291824.719,405705302846.447,479181794216.859,586286469400.665,631196863758.281,589202526424.141,397297216492.19,515697079289.011,597487173479.109,567564806235.441,650014391470.21,728516494684.269,823251107638.814,971740329983.878,1095175538508.19,1220911904593.06,1091580692542.34,983065242417.36,1192830015737.68,1307103477219.1,1335343586437.67,1434669686501.84,1556252422020.44,1539212301135.55,1579150518945.44,1710196756713.17,1824251454306.83,1751045752054.63,1744070276373.34,1942313560965.9,1799363116866.52,1844800934391.54,1875388209406.8,1872374961553.15
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,261253675692.838,313139656145.745,363157832923.734,530160763662.543,553618247900.74,380157469866.849,432157945024.428,523449530464.257,557461102630.658,631249359702.389,742061329749.127,796064590549.136,810666116401.915,765549967888.647,819459227375.022,917571853437.344,1020265057882.01,1102355554880.44,1161553459984.65,943437414950.633,1105424238651.95,1229013703416.76,1255110424741.85,1327436290439.27,1364507717689.36,1213294467653.78,1112233497452.7,1190721475853.16,1256300182983.65,1304106204006.27,1121064767168.8,1316569466833.94,1466934724243.38,1794410347718.25,1830489311088.89,1832641364775.52
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,138217740684.484,139180507777.691,152966494259.538,143111306004.102,156017919221.457,184848481008.139,187481157845.724,173241365735.483,176877077513.133,177887720535.535,164043817223.59,164881594415.341,178788209558.311,218421193436.252,251986155630.852,265150087711.985,283386151543.687,320213157595.018,354979471960.142,322619152194.594,322345594075.47,344315595263.175,326792574244.963,344631016965.12,352832602064.452,301758922337.637,312181849372.233,331610593961.988,355293374912.393,345401473012.615,355631021931.621,406110162088.054,400114306337.077,404651706117.557,424524722037.047,462526660468.393
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,517014446227.929,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347420184.885,591016690732.385,764015973481.11,989932071352.543,1299703478481.65,1660848058303.11,1222645900055.7,1524916715223.95,2045922753398.04,2208293553878.42,2292470078346.22,2059241589895.01,1363482182197.71,1276786350881.14,1574199360089,1657328773461.31,1693115002708.32,1493075894362.14,1829186719575.1,2292495097681.47,2046284838151.09,2186462268813.08,2561310169358.74
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,536175326477.31,576753902321.857,630465353486.104,524700572623.872,530183651720.283,614170002668.802,642251412058.321,589739772727.273,618731484575.12,634394904386.874,598102854756.08,627798682378.741,708938227243.923,907963217057.645,1069829382514.67,1154667551775.88,1261846683275.29,1476746276854.51,1636115447612.5,1496587590847.66,1427989078916.67,1487568659241.25,1330994811670.31,1362186923157.65,1380244561361.96,1206164777553.12,1243015667917.12,1321754088818.83,1431642809327.06,1403496387686.27,1289783836971.21,1461244901852.69,1448850658406.62,1619481980719.64,1725671652742.19,1906453309985.88
GDP (current US$),NY.GDP.MKTP.CD,Turkiye,TUR,150655500191.644,151034731543.624,159104772991.851,180415757851.616,130650447499.071,234699627004.035,250366965174.129,263817553748.395,276035372654.608,256673939247.773,274748463178.502,202195080239.036,240778008473.845,315392899922.379,410156784495.948,508314210212.544,559668118237.002,685228481017.03,775415944332.866,653894449921.288,782545664268.333,844192507380.795,885327622479.052,962167643588.925,942343431928.654,865460050683.656,870818016909.84,863874522365.276,788356985773.667,775853144222.613,733628247119.077,839938668172.134,926097476913.818,1141242864657.45,1359123768774.12,1597293229287
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1349094208616.06,1425287051482.06,1569317288801.57,1660821464060.95,1693458987218.9,1671597821152.97,1656171009068.66,1790536570743.41,2061227755102.04,2429774807762.72,2551361818181.82,2719558417663.29,3104699879951.98,2945251838235.29,2429358155475.93,2496740681057.14,2675590034128.66,2719715961539.83,2796908333283.39,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.1,2897028009916.05,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08,3695539513534.15,4002587541846.01
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21375281000000,23725645000000,26054614000000,27811517000000,29298013000000,30769700000000
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,265817211205.311,290094591011.844,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,602872713790.916,591684674129.454,583738758865.705,609232576079.322
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,917211118029.012,926678475666.292,921636677088.89,967024426395.984,1023623112443.65,1066858840298.13,1090424301689.88,1127442527329.51,1131254386851.73,1136547951100.23,1186419100640.61,1202909097020.67,1239639467497.76,1253781634016.71,1325999012757.63,1368459252277.73,1422677453370.7,1509032133942.18,1585905180197,1583909921137.42,1703150236756.78,1770840632844.1,1804861597828.48,1859094488272.12,1868463501662.3,1802212206814.5,1743173232416.64,1766233131666.66,1797736844969.16,1819683217699.38,1760056587795.46,1843881119920.2,1899505377558.02,1961080794855.6,2028136327872.37,2074494382804.15
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Canada,CAN,877825083275.001,859469276531.644,867122560316.335,890168135899.429,930172731125.229,955123017248.51,971254674627.055,1012825994794.92,1052254162075.79,1106350585213.86,1163200843613.23,1185012000891.58,1220553536588.13,1242601434048.71,1281027191102.52,1322153985116.97,1357031663572.77,1384849517992.3,1398634398326.82,1357862999005.37,1399831914632.5,1443747363549.13,1469094677743.48,1503263081057.7,1546458845944.07,1556510380200.23,1572675533072.03,1620387912547.73,1664834560154.15,1696606794629.52,1611127783961.78,1706998394665.32,1787149136135.45,1822053687169.68,1859337753256.2,1891740160107.82
GDP (constant 2015 US$),NY.GDP.MKTP.KD,China,CHN,1041177931705.26,1138794946993.44,1301615550876.41,1482879870958.35,1676880778212.51,1861596132617.78,2047258472826.1,2237604266165.63,2414901854973.07,2601845161729.03,2824916263542.96,3060063619716.51,3342692586001.97,3680766226629.83,4054011719388.36,4518338478814.27,5091050723394.27,5811473655332.24,6373372030110.07,6972857785771.39,7711401293675.62,8441058131256.55,9104341297809.09,9812516071429.73,10544628617502.6,11280814787468.9,12044942062503.5,12874987827480.3,13745054545709.3,14579018970009.3,14920095680400.9,16198805195731.6,16706452162504,17611274170444.3,18484494644731.6,19401316126585.1
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chile,CHL,71089876109.5537,76603750426.1864,85414661278.3917,91125130548.8196,95751374590.6832,104613573720.419,112056685779.901,120339623825.598,125370887065.113,125027832953.909,131243743563.397,135383217071.739,139719269577.32,146318553366.968,156084225513.955,165194933117.629,175189211415.667,184243394522.927,191225100461.158,189087132632.604,200151851762.225,212609096429.355,225695909224.96,233163076995.037,237342873662.271,242450355830.884,246700604515.86,250050047209.619,260027117802.785,261702273348.86,245634546877.039,273483125955.671,279127595176.477,281017358307.658,288900250332.819,296005043455.575
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Colombia,COL,120488417446.261,122900122761.671,127871346008.238,134757742185.312,142593449287.222,150011784497.792,153095808839.253,158347444690.971,159249683235.263,152554802278.5,157016818928.93,159651401476.819,163649041384.447,170061255792.911,179130660092.783,187780451739.376,200393418124.055,213896316785.023,220919487240.849,223437193184.792,233479933032.173,249701866578.277,259471791121.288,272793056063.57,285066097496.814,293492370193.166,299618678572.191,303691577641.583,311479214511.795,321405606655.842,298309675728.093,330530695024.886,354752900899.02,357739280193.385,363081426935.517,372674094475.955
GDP (constant 2015 US$),NY.GDP.MKTP.KD,France,FRA,1630899060963.07,1651067777785.17,1676098974378.87,1670081815758.79,1709890902349.41,1749300344479.7,1773739467493.06,1818562957062.05,1881350558837.76,1945303460549.75,2025858476151.37,2064338989612.96,2086380974762.6,2106573536968.08,2166995343501.89,2207920477337.34,2267844862926.15,2325232266328.63,2334072135222.36,2268145064848.79,2313515332182.54,2369909039106.43,2374265767668.09,2392826743357.49,2416703156974.4,2442483452642.5,2463489569347.31,2514819204088.14,2556210832760.02,2608036638906.12,2413981867676.36,2580120255051.75,2650215998256.03,2688358302961.22,2720362347819.81,2743239233772.68
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2364190062225,2484959073005.6,2534996542114.29,2510330187123.32,2575519839599.45,2614281254585.26,2641414240990.66,2690394576515.06,2746774816494.42,2805269313430.67,2885963533943.47,2933181986968.52,2926486831428.63,2910982263391.97,2944810405337.25,2970886268370.04,3085761005285.65,3174912263837.68,3203102383827.36,3025504625850.04,3150598283304.25,3268996785218.57,3284148978797.69,3297186905208.25,3369071713224.27,3425099578746.09,3501212900675.89,3599173571724.7,3640049243667.4,3675639268112.03,3523764998709.97,3661544208117.2,3727790994177.62,3695372350062.48,3677048776153.86,3685858188650.63
GDP (constant 2015 US$),NY.GDP.MKTP.KD,India,IND,465242841650.512,470159674240.679,495935689516.747,519496484318.718,554089360742.694,596058814159.964,641058406951.43,667020123970.576,708271422045.356,770923380748.906,800534479629.68,839151992858.488,871073127574.186,939542798331.655,1013982178696.23,1094324353137.75,1182534912725.95,1273126725470.22,1312424303400.29,1415605643151.34,1535897931719.55,1616399198833.97,1704596203504.08,1813453530765.84,1947834564909.58,2103588360044.94,2277267041549.85,2432016068498.23,2588974770244.48,2689205295885.26,2533830417086.36,2779348258938.28,2990839011962.06,3206485223026.3,3434122552914.77,3693970992045.56
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Japan,JPN,3569102682109.45,3691076650696.96,3722379548990.98,3703100606521.69,3739874853041.49,3827464796307.93,3945177225076.82,3998948850264.62,3928061846959.68,3914407888319.42,4030991750950.9,4042464298381.04,4045899940482.26,4101737784188.63,4188405380395.49,4265818895379.49,4331781612600.87,4406651221892.01,4355242255151.66,4096717638451.29,4266176556594.72,4257628936826.67,4327834450517.28,4414273272427.52,4454262857599.7,4534438580494.94,4566405760116.54,4640539102852.95,4679247874199.03,4664812538574.46,4465005582812.98,4624147102598.69,4685724442189.07,4719498455389.44,4708167683577.82,4764341438831.9
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,414656502991.157,459750289581.251,488951752176.177,523152547993.21,572181545647.577,627888532992.027,678059525601.662,720656531307.353,685063811513.859,764649475913.54,835011437852.054,874473540684.493,942192762521.074,971162614185.718,1021504157422.6,1066023726231.41,1121936729365.41,1187479862374.9,1223156560996.14,1233184753860.86,1319281537670.41,1367937063745.25,1402787524457.73,1448958816285.78,1495538208413.16,1539212301135.55,1588028842393.05,1642548917819.59,1694718171579.25,1733930596323.25,1721788880530.99,1801214449834.76,1850343736945.76,1879634949821.72,1917295522781.86,1936603041534.49
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Mexico,MEX,665614206217.349,692078394532.559,716775997855.793,737325961805.099,769725007515.6,724231953293.782,769266848267.796,824645415959.505,875650385836.062,899774820102.317,945027051109.809,940766441508.274,938540700981.551,949667522087.641,983527357532.924,1004311721038.6,1052569034983.79,1074439987400.41,1084575522256.88,1016298775542.76,1066822388040.15,1103564231719.43,1142776194745.57,1152513808415.91,1181370028573.8,1213294467653.78,1234800029897.25,1257912134548.83,1282719194726.5,1277682078136.65,1170944075330.45,1241768434190.09,1287835026633.04,1327845439047.71,1345779005031.98,1353338023059.52
